10038.txt;finance
10066.txt;finance
10135.txt;technology
10168.txt;social
10190.txt;social
10212.txt;Culture
10217.txt;finance
10262.txt;finance
10264.txt;finance
10325.txt;politic
10338.txt;finance
10357.txt;finance
10359.txt;social
10380.txt;technology
10454.txt;politic
10460.txt;politic
10501.txt;finance
10508.txt;sport
10531.txt;Culture
11218.txt;finance
11255.txt;finance
11274.txt;Culture
11283.txt;social
11301.txt;social
11349.txt;politic
11398.txt;finance
11444.txt;finance
11844.txt;politic
11852.txt;politic
11904.txt;finance
11915.txt;finance
11926.txt;sport
11932.txt;politic
12002.txt;politic
12048.txt;technology
12082.txt;sport
12126.txt;politic
12206.txt;finance
12377.txt;social
12480.txt;politic
12486.txt;finance
12499.txt;Culture
12523.txt;sport
12534.txt;social
12543.txt;politic
12600.txt;politic
12738.txt;finance
12803.txt;sport
12831.txt;politic
12923.txt;politic
12935.txt;technology
12980.txt;Culture
13050.txt;politic
13278.txt;politic
13294.txt;sport
13297.txt;finance
13432.txt;technology
13459.txt;finance
13474.txt;politic
13606.txt;technology
13672.txt;finance
13748.txt;finance
13772.txt;finance
13784.txt;social
14810.txt;sport
14923.txt;sport
14931.txt;finance
15014.txt;finance
15048.txt;finance
15055.txt;social
15063.txt;social
15316.txt;sport
15493.txt;finance
15557.txt;politic
15559.txt;politic
15562.txt;social
15591.txt;finance
15600.txt;Culture
15657.txt;politic
15669.txt;finance
15678.txt;finance
15755.txt;finance
15787.txt;Culture
15794.txt;finance
15807.txt;sport
15867.txt;Culture
15883.txt;politic
15924.txt;social
15935.txt;finance
15986.txt;politic
16004.txt;Culture
16041.txt;politic
16047.txt;Culture
16077.txt;Culture
16093.txt;finance
16254.txt;politic
16298.txt;finance
16312.txt;politic
16350.txt;social
16413.txt;finance
16431.txt;social
16438.txt;politic
16484.txt;finance
16508.txt;technology
16542.txt;politic
16564.txt;technology
16659.txt;social
16662.txt;finance
16668.txt;social
16686.txt;politic
16770.txt;sport
16954.txt;sport
16955.txt;Culture
16958.txt;finance
16976.txt;technology
17033.txt;social
17047.txt;Culture
17051.txt;Culture
17055.txt;finance
17124.txt;politic
17131.txt;politic
17293.txt;finance
17458.txt;finance
17468.txt;social
17525.txt;finance
17534.txt;technology
17544.txt;finance
17551.txt;finance
17707.txt;politic
17715.txt;Culture
17760.txt;finance
17779.txt;politic
17833.txt;politic
17864.txt;politic
17895.txt;Culture
17934.txt;finance
17937.txt;politic
17938.txt;politic
18025.txt;finance
18053.txt;politic
18064.txt;social
18099.txt;politic
18106.txt;finance
18143.txt;finance
18172.txt;finance
18197.txt;finance
18318.txt;politic
18336.txt;social
18393.txt;politic
18484.txt;politic
18570.txt;finance
18686.txt;politic
18710.txt;social
18711.txt;Culture
18768.txt;finance
20073.txt;technology
20085.txt;politic
20101.txt;politic
20104.txt;politic
20206.txt;finance
20224.txt;sport
20231.txt;finance
20267.txt;finance
20287.txt;politic
20288.txt;technology
20346.txt;Culture
20347.txt;politic
20353.txt;sport
20359.txt;social
20361.txt;finance
20389.txt;social
20392.txt;politic
20393.txt;finance
21195.txt;politic
21206.txt;politic
21241.txt;social
21329.txt;politic
21336.txt;politic
21352.txt;social
21354.txt;politic
21367.txt;technology
21378.txt;sport
21379.txt;sport
21390.txt;sport
21402.txt;sport
21404.txt;sport
21427.txt;finance
21430.txt;sport
21453.txt;sport
21465.txt;sport
21468.txt;politic
21470.txt;sport
21475.txt;sport
21476.txt;finance
21482.txt;politic
21486.txt;Culture
21506.txt;politic
21514.txt;politic
21518.txt;technology
21519.txt;politic
21520.txt;sport
21530.txt;politic
21534.txt;sport
21539.txt;finance
21552.txt;sport
21565.txt;sport
21592.txt;sport
21596.txt;sport
21601.txt;Culture
21603.txt;sport
21604.txt;sport
21634.txt;finance
21642.txt;sport
21654.txt;sport
21655.txt;sport
21658.txt;finance
21659.txt;social
21663.txt;sport
21665.txt;finance
21670.txt;Culture
21675.txt;sport
21681.txt;politic
21692.txt;finance
21702.txt;technology
22210.txt;technology
22214.txt;sport
22218.txt;technology
22221.txt;sport
22239.txt;social
22254.txt;sport
22265.txt;sport
22266.txt;finance
22267.txt;sport
22278.txt;Culture
22279.txt;technology
22280.txt;social
22284.txt;politic
22295.txt;social
22302.txt;social
22306.txt;social
22310.txt;social
22314.txt;technology
22328.txt;sport
22330.txt;sport
22332.txt;politic
23084.txt;sport
23087.txt;politic
23093.txt;politic
23096.txt;sport
23103.txt;Culture
23111.txt;politic
23113.txt;social
23118.txt;politic
23122.txt;politic
23137.txt;social
23144.txt;politic
23146.txt;finance
23151.txt;social
23152.txt;Culture
23157.txt;Culture
23159.txt;social
23160.txt;social
23164.txt;technology
23166.txt;Culture
23176.txt;politic
23178.txt;sport
23180.txt;politic
23182.txt;sport
23191.txt;social
23192.txt;sport
23193.txt;politic
23213.txt;sport
23219.txt;Culture
23222.txt;finance
23227.txt;politic
23231.txt;sport
23234.txt;politic
23240.txt;politic
23243.txt;sport
23245.txt;sport
23253.txt;sport
23255.txt;politic
23258.txt;politic
23259.txt;social
23271.txt;finance
23878.txt;politic
23880.txt;politic
23898.txt;sport
23902.txt;sport
23908.txt;sport
23918.txt;finance
23926.txt;social
23933.txt;politic
23934.txt;Culture
23935.txt;social
23936.txt;politic
23943.txt;politic
23950.txt;politic
24137.txt;Culture
24140.txt;social
24144.txt;social
24145.txt;social
24146.txt;sport
24154.txt;social
24162.txt;finance
24166.txt;politic
24171.txt;finance
24178.txt;finance
24180.txt;politic
24197.txt;politic
24206.txt;politic
24214.txt;politic
24635.txt;politic
24644.txt;technology
24645.txt;social
24882.txt;sport
24891.txt;sport
24895.txt;sport
24901.txt;sport
24906.txt;politic
24911.txt;politic
24915.txt;sport
24922.txt;Culture
24923.txt;technology
24926.txt;sport
24941.txt;sport
24945.txt;Culture
24952.txt;politic
24954.txt;politic
24957.txt;sport
24963.txt;sport
24964.txt;sport
24965.txt;finance
24967.txt;sport
24971.txt;sport
24975.txt;sport
24982.txt;politic
24987.txt;technology
24996.txt;finance
25025.txt;social
25038.txt;Culture
25039.txt;sport
25040.txt;politic
25046.txt;politic
25050.txt;Culture
25051.txt;politic
25057.txt;Culture
25063.txt;finance
25065.txt;politic
25074.txt;social
25075.txt;finance
25080.txt;social
25084.txt;sport
25097.txt;social
25129.txt;Culture
25137.txt;social
25141.txt;technology
25143.txt;finance
25144.txt;politic
25161.txt;politic
25164.txt;finance
25166.txt;politic
25173.txt;sport
25176.txt;sport
25186.txt;politic
25187.txt;politic
25190.txt;Culture
25202.txt;politic
25219.txt;social
25225.txt;politic
25228.txt;politic
25231.txt;social
25248.txt;social
25249.txt;politic
25251.txt;sport
25270.txt;social
25271.txt;social
25331.txt;technology
25338.txt;finance
25339.txt;finance
25346.txt;politic
25350.txt;social
25354.txt;finance
25797.txt;politic
25800.txt;politic
25801.txt;politic
25807.txt;social
25810.txt;sport
25826.txt;politic
26198.txt;social
26199.txt;sport
26200.txt;Culture
26208.txt;politic
26209.txt;politic
26213.txt;social
26224.txt;politic
26233.txt;politic
26239.txt;politic
26241.txt;social
26255.txt;finance
26256.txt;technology
26268.txt;finance
26272.txt;politic
26275.txt;finance
26280.txt;social
26283.txt;sport
26297.txt;sport
26300.txt;finance
26307.txt;politic
26316.txt;politic
26318.txt;Culture
26319.txt;politic
26329.txt;politic
26341.txt;social
26344.txt;social
26346.txt;technology
26356.txt;finance
26360.txt;politic
26369.txt;politic
26374.txt;politic
26376.txt;sport
26381.txt;sport
26385.txt;social
26388.txt;politic
26391.txt;social
26394.txt;politic
26397.txt;politic
26400.txt;sport
26401.txt;sport
26404.txt;politic
26406.txt;technology
26417.txt;sport
26419.txt;sport
26421.txt;social
26430.txt;social
26431.txt;politic
26443.txt;Culture
26449.txt;finance
26450.txt;finance
26456.txt;politic
26457.txt;sport
26463.txt;technology
26475.txt;politic
26484.txt;social
26485.txt;politic
26488.txt;social
26491.txt;sport
26495.txt;social
26500.txt;sport
26501.txt;politic
26502.txt;sport
26505.txt;politic
26511.txt;finance
26513.txt;sport
26517.txt;sport
26519.txt;sport
26522.txt;politic
26526.txt;politic
26527.txt;social
26532.txt;finance
26541.txt;finance
26546.txt;Culture
26550.txt;politic
26559.txt;Culture
26563.txt;politic
26569.txt;finance
26576.txt;politic
26580.txt;politic
26592.txt;sport
26595.txt;politic
26597.txt;Culture
26599.txt;finance
26603.txt;sport
26607.txt;sport
26608.txt;politic
26611.txt;social
26615.txt;sport
26616.txt;sport
26617.txt;technology
26656.txt;politic
26658.txt;social
26675.txt;politic
26679.txt;technology
26680.txt;sport
26684.txt;sport
26688.txt;sport
26690.txt;sport
26692.txt;politic
26693.txt;Culture
26696.txt;social
26698.txt;sport
26699.txt;politic
26701.txt;finance
26702.txt;politic
26703.txt;finance
26705.txt;social
26709.txt;social
26711.txt;sport
26716.txt;sport
26719.txt;technology
26721.txt;politic
26727.txt;social
493025.txt;technology
493652.txt;technology
494763.txt;technology
497083.txt;technology
497411.txt;technology
497415.txt;technology
497431.txt;sport
498266.txt;finance
498462.txt;technology
498497.txt;technology
498507.txt;technology
498853.txt;politic
501599.txt;technology
501740.txt;technology
501746.txt;technology
502038.txt;social
502204.txt;technology
502511.txt;technology
504803.txt;technology
507615.txt;technology
508135.txt;technology
508396.txt;technology
509961.txt;technology
511511.txt;politic
513002.txt;technology
515460.txt;technology
518214.txt;politic
519932.txt;politic
521723.txt;sport
522500.txt;technology
530399.txt;technology
531242.txt;technology
532676.txt;technology
533136.txt;technology
533354.txt;technology
535217.txt;technology
535895.txt;sport
538897.txt;technology
539895.txt;technology
539905.txt;technology
539922.txt;technology
540224.txt;politic
540799.txt;technology
541119.txt;technology
541952.txt;technology
541961.txt;technology
542510.txt;politic
542808.txt;politic
543425.txt;politic
543986.txt;technology
544536.txt;technology
545019.txt;technology
545265.txt;technology
545603.txt;technology
545609.txt;technology
547543.txt;technology
547856.txt;politic
551932.txt;technology
552192.txt;technology
552538.txt;technology
552696.txt;technology
552715.txt;technology
601054.txt;technology
601663.txt;sport
602009.txt;technology
603036.txt;politic
603302.txt;technology
604899.txt;technology
605539.txt;technology
605733.txt;technology
606265.txt;technology
607221.txt;technology
607574.txt;technology
607869.txt;politic
608367.txt;technology
609048.txt;technology
611328.txt;technology
611827.txt;technology
612059.txt;technology
612777.txt;technology
613077.txt;technology
613185.txt;technology
613364.txt;technology
613689.txt;technology
614920.txt;technology
616900.txt;sport
617223.txt;technology
618230.txt;technology
619517.txt;finance
620235.txt;technology
620505.txt;technology
623899.txt;technology
624558.txt;finance
625078.txt;politic
625303.txt;technology
626174.txt;technology
627192.txt;technology
627951.txt;technology
